payee,category
U.S. POSTMASTER (SANTA ANA) C/O WORK FLOW DIRECT,Other
UC BERKELEY,Other
UFW OF AMERICA - AFL-CIO,Other
ULINE SHIPPING SUPPLIES SPECIALISTS,Other
UNITED AIR,Other
URBAN FLOWERS,Other
US POSTMASTER - SACRAMENTO,Other
VILLA PIZZA,Restaurant
"VNU EMEDIA, INC.",Other
VON'S,Other
WALMART.COM,Other
WELLS FARGO BANK MC/AV,Other
WELLS FARGO BANK MC/KB,Other
WOODS FLORIST,Other
WWW.COSTCO.COM,Other
XAVIER CAMPOS FOR CITY COUNCIL,Other
YAHOO MAIL,Other
"YES ON 72, SAVE YOUR HEALTHCARE",Other
"YES ON MEASURE ULA - UNITED TO HOUSE LA, SPONSORED BY NONPROFIT COMMUNITY ORGANIZATIONS",Other
"YES ON PROP 25, A COALITION OF JUSTICE REFORM AND LABOR ORGANIZATIONS",Other
ZUNI CAFE,Restaurant
